OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
2453,2021/04/06 15:00:00+00,Somerset                                          ,85,5782,30,3635,65,382,150,95,4017,6164
2454,2021/04/07 15:00:00+00,Somerset                                          ,213,5995,69,3704,29,411,242,98,4115,6406
2455,2021/04/08 15:00:00+00,Somerset                                          ,78,6073,36,3740,64,475,142,100,4215,6548
2456,2021/04/09 15:00:00+00,Somerset                                          ,31,6104,188,3928,62,537,93,250,4465,6641
2457,2021/04/10 15:00:00+00,Somerset                                          ,4,6108,10,3938,14,551,18,24,4489,6659
2458,2021/04/11 15:00:00+00,Somerset                                          ,5,6113,14,3952,3,554,8,17,4506,6667
2459,2021/04/12 15:00:00+00,Somerset                                          ,91,6204,31,3983,15,569,106,46,4552,6773
2460,2021/04/13 15:00:00+00,Somerset                                          ,28,6232,27,4010,,569,,,4579,6801
2461,2021/04/14 15:00:00+00,Somerset                                          ,94,6326,132,4142,,569,,,4711,6895
2462,2021/04/15 15:00:00+00,Somerset                                          ,167,6493,93,4235,,569,,,4804,7062
2463,2021/04/16 15:00:00+00,Somerset                                          ,95,6588,188,4423,,569,,,4992,7157
2464,2021/04/17 15:00:00+00,Somerset                                          ,12,6600,12,4435,,569,,,5004,7169
2465,2021/04/18 15:00:00+00,Somerset                                          ,9,6609,6,4441,,569,,,5010,7178
2466,2020/12/17 15:00:00+00,Prince George's                                   ,15,31,,1,,0,,,1,31
2467,2020/12/18 15:00:00+00,Prince George's                                   ,53,84,,1,,0,,,1,84
2468,2020/12/19 15:00:00+00,Prince George's                                   ,19,103,,1,,0,,,1,103
2469,2020/12/20 15:00:00+00,Prince George's                                   ,12,115,,1,,0,,,1,115
2470,2020/12/21 15:00:00+00,Prince George's                                   ,168,283,,1,,0,,,1,283
2471,2020/12/22 15:00:00+00,Prince George's                                   ,544,827,,1,,0,,,1,827
2472,2020/12/23 15:00:00+00,Prince George's                                   ,277,1104,1,2,,0,,,2,1104
2473,2020/12/24 15:00:00+00,Prince George's                                   ,185,1289,,2,,0,,,2,1289
2474,2020/12/25 15:00:00+00,Prince George's                                   ,175,1464,1,3,,0,,,3,1464
2475,2020/12/26 15:00:00+00,Prince George's                                   ,316,1780,,3,,0,,,3,1780
2476,2020/12/27 15:00:00+00,Prince George's                                   ,102,1882,,3,,0,,,3,1882
2477,2020/12/28 15:00:00+00,Prince George's                                   ,332,2214,2,5,,0,,,5,2214
2478,2020/12/29 15:00:00+00,Prince George's                                   ,481,2695,1,6,,0,,,6,2695
2479,2020/12/30 15:00:00+00,Prince George's                                   ,433,3128,1,7,,0,,,7,3128
2480,2020/12/31 15:00:00+00,Prince George's                                   ,287,3415,1,8,,0,,,8,3415
2481,2021/01/01 15:00:00+00,Prince George's                                   ,98,3513,1,9,,0,,,9,3513
2482,2021/01/02 15:00:00+00,Prince George's                                   ,99,3612,2,11,,0,,,11,3612
2483,2021/01/03 15:00:00+00,Prince George's                                   ,270,3882,1,12,,0,,,12,3882
2484,2021/01/04 15:00:00+00,Prince George's                                   ,737,4619,3,15,,0,,,15,4619
2485,2021/01/05 15:00:00+00,Prince George's                                   ,516,5135,15,30,,0,,,30,5135
2486,2021/01/06 15:00:00+00,Prince George's                                   ,662,5797,15,45,,0,,,45,5797
2487,2021/01/07 15:00:00+00,Prince George's                                   ,616,6413,26,71,,0,,,71,6413
2488,2021/01/08 15:00:00+00,Prince George's                                   ,858,7271,67,138,,0,,,138,7271
2489,2021/01/09 15:00:00+00,Prince George's                                   ,320,7591,23,161,,0,,,161,7591
2490,2021/01/10 15:00:00+00,Prince George's                                   ,470,8061,4,165,,0,,,165,8061
2491,2021/01/11 15:00:00+00,Prince George's                                   ,676,8737,170,335,,0,,,335,8737
2492,2021/01/12 15:00:00+00,Prince George's                                   ,1124,9861,493,828,,0,,,828,9861
2493,2021/01/13 15:00:00+00,Prince George's                                   ,1192,11053,199,1027,,0,,,1027,11053
2494,2021/05/08 15:00:00+00,Caroline                                          ,7,10752,19,8877,4,2500,11,23,11377,13252
2495,2021/05/09 15:00:00+00,Caroline                                          ,2,10754,7,8884,1,2501,3,8,11385,13255
2496,2021/05/10 15:00:00+00,Caroline                                          ,12,10766,26,8910,2,2503,14,28,11413,13269
2497,2021/05/11 15:00:00+00,Caroline                                          ,19,10785,38,8948,4,2507,23,42,11455,13292
2498,2021/05/12 15:00:00+00,Caroline                                          ,36,10821,69,9017,6,2513,42,75,11530,13334
2499,2021/05/13 15:00:00+00,Caroline                                          ,63,10884,173,9190,10,2523,73,183,11713,13407
2500,2021/05/14 15:00:00+00,Caroline                                          ,43,10927,118,9308,29,2552,72,147,11860,13479
2501,2021/05/15 15:00:00+00,Caroline                                          ,28,10955,21,9329,1,2553,29,22,11882,13508
